timestamp_us,ecg,leads,ir,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
494907167,1813,1,201294,0.19,-0.23,9.99,-0.03,-0.01,-0.01,31.49
494987167,2846,1,201185,0.20,-0.20,9.98,-0.03,-0.01,-0.01,31.49
495067167,1731,1,201220,0.18,-0.23,9.99,-0.03,-0.01,-0.00,31.49
495147167,2045,1,201095,0.19,-0.22,10.01,-0.03,-0.01,-0.00,31.49
495227167,2176,1,200246,0.19,-0.22,9.97,-0.03,-0.01,-0.01,31.49
495307167,1730,1,200022,0.17,-0.20,10.00,-0.03,-0.01,-0.00,31.49
495387168,1764,1,200242,0.18,-0.21,9.99,-0.03,-0.01,-0.00,31.49
495467167,1783,1,200387,0.19,-0.23,9.99,-0.03,-0.01,-0.01,31.49
495552216,1814,1,200462,0.21,-0.20,9.98,-0.03,-0.01,-0.00,31.49
495628167,1811,1,200565,0.17,-0.22,9.98,-0.03,-0.01,-0.01,31.49
495708167,1654,1,200752,0.17,-0.22,9.97,-0.03,-0.01,-0.01,31.49
495786167,2010,1,200861,0.16,-0.19,10.01,-0.03,-0.01,-0.01,31.49
495866167,2209,1,200006,0.21,-0.20,9.99,-0.03,-0.01,-0.01,31.49
495946167,1941,1,199718,0.18,-0.21,9.97,-0.03,-0.01,-0.00,31.49
496026179,2447,1,199876,0.19,-0.21,10.00,-0.03,-0.01,-0.01,31.49
496106167,2387,1,200039,0.17,-0.22,9.99,-0.03,-0.01,-0.01,31.49
496186167,2318,1,200108,0.17,-0.21,10.02,-0.03,-0.01,-0.01,31.49
496266167,2071,1,200355,0.18,-0.22,9.97,-0.03,-0.01,-0.01,31.49
496346179,1791,1,200488,0.19,-0.21,10.01,-0.03,-0.01,-0.01,31.49
496426167,1781,1,200662,0.20,-0.19,9.99,-0.03,-0.01,-0.01,31.49
496506167,1971,1,200255,0.18,-0.22,9.99,-0.03,-0.01,-0.00,31.49
496591216,1853,1,199583,0.18,-0.20,9.96,-0.03,-0.01,-0.01,31.49
496667167,1553,1,199823,0.18,-0.20,9.97,-0.03,-0.01,-0.00,31.49
496747167,1505,1,200168,0.19,-0.22,10.00,-0.03,-0.01,-0.00,31.49
496825167,1453,1,200340,0.19,-0.22,9.97,-0.03,-0.01,-0.00,31.49
496905167,1499,1,200386,0.18,-0.22,9.99,-0.03,-0.01,-0.00,31.49
496985167,3571,1,200633,0.18,-0.23,10.01,-0.03,-0.01,-0.01,31.49
497065167,1535,1,200810,0.19,-0.23,9.98,-0.03,-0.01,-0.00,31.49
497145167,1870,1,200889,0.17,-0.22,9.97,-0.03,-0.01,-0.00,31.49
497225167,2243,1,200272,0.19,-0.20,10.00,-0.03,-0.01,-0.01,31.49
497305167,1696,1,200400,0.17,-0.21,10.00,-0.03,-0.01,-0.01,31.49
497385167,1807,1,200972,0.20,-0.21,9.99,-0.03,-0.01,-0.01,31.49
497465168,1845,1,201644,0.19,-0.21,9.99,-0.03,-0.02,-0.00,31.49
497545167,1797,1,202159,0.18,-0.23,9.99,-0.03,-0.01,-0.01,31.49
497630216,3563,1,202654,0.20,-0.21,9.99,-0.03,-0.01,-0.01,31.47
497706167,1782,1,203161,0.22,-0.21,10.00,-0.03,-0.01,-0.01,31.47
497786185,1981,1,203215,0.21,-0.22,9.98,-0.03,-0.01,-0.01,31.47
497866167,2097,1,202348,0.18,-0.21,9.99,-0.03,-0.01,-0.01,31.47
497944167,1726,1,202599,0.20,-0.20,10.00,-0.03,-0.01,-0.01,31.47
498025185,1794,1,203150,0.20,-0.23,10.00,-0.03,-0.01,-0.01,31.47
498105167,1850,1,203348,0.20,-0.21,10.00,-0.03,-0.01,-0.00,31.47
498185183,1878,1,203280,0.19,-0.22,10.01,-0.03,-0.01,-0.01,31.47
498265167,3760,1,203436,0.20,-0.22,9.99,-0.03,-0.01,-0.01,31.47
498345167,1802,1,203747,0.20,-0.21,10.00,-0.03,-0.01,-0.01,31.47
498425167,1930,1,203712,0.20,-0.21,10.00,-0.03,-0.01,-0.00,31.47
498505167,2062,1,202923,0.22,-0.23,10.01,-0.03,-0.02,-0.00,31.47
